system:index,EVI,GREEN,LST_C,NDBI,NDVI,NDWI,NIR,RED,SWIR,YEAR,latitude,longitude,.geo
654,1.761652053530226,1439.0,22.230124520000032,-0.05341557,0.20292358,-0.22258238,2263.0,1499.5,2033.5,2024,60.973823646075616,25.655480272575684,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.655480272575684,60.973823646075616]}"
655,1.582759105611025,1008.5,22.40615255,-0.09427779,0.35002333,-0.36552376,2170.5,1045.0,1796.5,2024,60.973823646075616,25.65628875633139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.65628875633139,60.973823646075616]}"
656,0.5604844388114351,1861.0,22.619778800000034,-0.09201889,0.091641724,-0.12040648,2370.5,1972.5,1971.0,2024,60.973823646075616,25.656558250916625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.656558250916625,60.973823646075616]}"
657,0.8503816793893129,1249.0,22.31215700000004,0.029890276,0.16935238,-0.21248424,1923.0,1366.0,2041.5,2024,60.973823646075616,25.657097240087097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.657097240087097,60.973823646075616]}"
658,2.1304398553260997,1028.5,22.238669570000013,-0.15121447,0.48784396,-0.46052977,2784.5,958.5,2053.0,2024,60.973823646075616,25.658714207598514,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.658714207598514,60.973823646075616]}"
659,2.7061684722529296,563.5,22.771880690000017,-0.3099027,0.7479377,-0.6708528,2860.5,412.5,1507.0,2024,60.973823646075616,25.663565110132758,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.663565110132758,60.973823646075616]}"
660,3.025421223765888,625.5,26.04292583000006,-0.265015,0.6805186,-0.603235,2527.5,480.5,1468.5,2024,60.973823646075616,25.66599056139988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.66599056139988,60.973823646075616]}"
661,2.231715652768284,939.0,29.636973860000012,-0.03573915,0.4136839,-0.40766442,2231.5,925.5,2077.5,2024,60.973823646075616,25.668416012667002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.668416012667002,60.973823646075616]}"
662,10.680851063829788,819.5,35.18954735,0.14507772,0.13252376,-0.13372093,1072.5,821.5,1436.5,2024,60.973823646075616,25.670302474763655,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.670302474763655,60.973823646075616]}"
663,1.2919914001612471,1040.0,28.895263520000015,-0.05879319,0.30577198,-0.32751375,2053.0,1091.5,1825.0,2024,60.973823646075616,25.675422871883136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.675422871883136,60.973823646075616]}"
664,2.417162754127822,516.5,25.34735876000002,-0.26603237,0.72433525,-0.6643925,2561.5,409.5,1485.0,2024,60.973823646075616,25.683777204025446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.683777204025446,60.973823646075616]}"
665,2.4873646209386284,577.0,25.73188601000004,-0.34342578,0.7679019,-0.69222564,3172.5,416.5,1550.5,2024,60.973823646075616,25.685124676951627,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.685124676951627,60.973823646075616]}"
666,3.725806451612903,389.5,34.64437315999999,0.27417678,0.12399356,-0.1467689,523.5,408.0,919.0,2024,60.973823646075616,25.69078406324158,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.69078406324158,60.973823646075616]}"
